Results from the numerical calculation of the cantilever motion

Input

Parameter	value in SI units
L	0.0002
H	1e-005
w	5e-005
zeta	0.2
psi	0
k	2.5
mT	5e-012
mL	5e-011
eta	10000
k1	100
k2	85
g1	0
g2	0
d1	1e-012
d2	0
f0	0
VACxDV	0
u0	0
epsilon_r	1
LaserPosition	1
Df	10000
TE	0

fStart	250000
fStop	300000
fStep	1000
AdjustDf	0
AdjustQAir	0
AdjustQContact	0
Precision	1e-007
IntegrationSteps	10000

AdjustParametersFromExperiment	1
ResonanceCurve	1
ContactStiffnessVariation	5
LeverShape	1

Input_Experimental

Parameter	value in SI units
ffree1	50000
Qfree1	100
ffree2	335000
Qfree2	350
fcr	270000
Qcr	50
csr	0.85
Min_k1	1
Max_k1	10000

Adjusted parameters

Parameter	value in SI units
mT	9.34129e-012
mL	6.63322e-011
eta	3136.46
k1	260.44
k2	221.374
g1	1.43827e-005
g2	1.22253e-005

Amplitude and phase as a function of frequency

f	A	phi
0.000166	2.41664e-011	1.6802	4.28538e-007	-1.44526	2.40219e-011
0.000168	2.32971e-011	1.6796	4.40712e-007	-1.4453	2.31594e-011
0.00017	2.24043e-011	1.67893	4.52091e-007	-1.44531	2.22735e-011
0.000172	2.14896e-011	1.67819	4.62649e-007	-1.4453	2.13658e-011
0.000174	2.05546e-011	1.67737	4.72362e-007	-1.44527	2.0438e-011
0.000176	1.9601e-011	1.67644	4.81205e-007	-1.44522	1.94918e-011
0.000178	1.86307e-011	1.6754	4.89155e-007	-1.44515	1.85289e-011
0.00018	1.76455e-011	1.67422	4.9619e-007	-1.44506	1.75512e-011
0.000182	1.66471e-011	1.67288	5.02289e-007	-1.44494	1.65604e-011
0.000184	1.56375e-011	1.67134	5.07434e-007	-1.44481	1.55585e-011
0.000186	1.46187e-011	1.66957	5.11605e-007	-1.44466	1.45474e-011
0.000188	1.35925e-011	1.66749	5.14784e-007	-1.44448	1.3529e-011
0.00019	1.25611e-011	1.66505	5.16957e-007	-1.44428	1.25054e-011
0.000192	1.15265e-011	1.66214	5.18108e-007	-1.44405	1.14784e-011
0.000194	1.04907e-011	1.65864	5.18223e-007	-1.44379	1.04502e-011
0.000196	9.45589e-012	1.65433	5.17289e-007	-1.4435	9.42292e-012
0.000198	8.42425e-012	1.64895	5.15296e-007	-1.44318	8.39853e-012
0.0002	7.39798e-012	1.64206	5.12232e-007	-1.44282	7.3792e-012
